"V1","V2","V3"
22.5,22.5,22.5
26.5,26.5,26.5
18,18,18
15,15,15
22.5,22.5,22.5
18,18,18
25,25,25
21.66666667,21.66666667,21.66666667
29.5,29.5,29.5
22,22,22
23.66666667,23.66666667,23.66666667
27,27,27
24.5,24.5,24.5
23,23,23
28,28,28
15.5,15.5,15.5
19,19,19
23,23,23
23.5,23.5,23.5
21.5,21.5,21.5
22.5,22.5,22.5
19.5,19.5,19.5
26,26,26
23.5,23.5,23.5
21,21,21
20,20,20
23.33333333,23.33333333,23.33333333
22.66666667,22.66666667,22.66666667
25.5,25.5,25.5
19.66666667,19.66666667,19.66666667
20,20,20
19,19,19
24.5,24.5,24.5
9,9,9
24.5,24.5,24.5
24,24,24
21.5,21.5,21.5
28,28,28
30,30,30
28.66666667,28.66666667,28.66666667
29.5,29.5,29.5
29.5,29.5,29.5
28,28,28
28,28,28
29.5,29.5,29.5
29.75,29.75,29.75
28.33333333,28.33333333,28.33333333
28.5,28.5,28.5
28,28,28
29,29,29
30,30,30
26.75,26.75,26.75
29,29,29
29,29,29
30,30,30
30,30,30
26.5,26.5,26.5
30,30,30
29,29,29
28.5,28.5,28.5
29,29,29
29.5,29.5,29.5
29.5,29.5,29.5
29.66666667,29.66666667,29.66666667
27,27,27
29,29,29
27.33333333,27.33333333,27.33333333
30,30,30
28.25,28.25,28.25
29.25,29.25,29.25
28.66666667,28.66666667,28.66666667
29,29,29
29.75,29.75,29.75
28.66666667,28.66666667,28.66666667
29.33333333,29.33333333,29.33333333
29.33333333,29.33333333,29.33333333
28,28,28
26,26,26
29,29,29
29.75,29.75,29.75
29.75,29.75,29.75
28.6,28.6,28.6
29.66666667,29.66666667,29.66666667
29.33333333,29.33333333,29.33333333
29,29,29
23,23,23
29,29,29
30,30,30
26,26,26
